Designator,Mid X,Mid Y,Layer,Rotation
R189,-191.8208mm,-83.7003mm,B,180
R187,-191.8208mm,-82.4230mm,T,180
R186,-191.8208mm,-81.1530mm,B,180
R184,-191.8208mm,-79.8830mm,T,180
R183,-191.8208mm,-78.6130mm,B,180
R264,-193.6928mm,-65.8622mm,T,180
R261,-193.6928mm,-68.4022mm,T,180
R258,-193.6928mm,-70.9422mm,T,180
R255,-193.6928mm,-73.4822mm,T,180
R236,-193.6928mm,-53.2892mm,T,180
R233,-193.6928mm,-55.8292mm,T,180
R230,-193.6928mm,-58.3692mm,T,180
R227,-193.6928mm,-60.9092mm,T,180
R208,-193.6928mm,-41.6052mm,T,180
R205,-193.6928mm,-44.1452mm,T,180
R202,-193.6928mm,-46.6852mm,T,180
R199,-193.6928mm,-49.2252mm,T,180
R180,-193.6928mm,-29.4132mm,T,180
R177,-193.6928mm,-31.9532mm,T,180
R174,-193.6928mm,-34.4932mm,T,180
R171,-193.6928mm,-37.0332mm,T,180
U19,-197.6374mm,-0.8382mm,T,180
U18,-197.6374mm,-15.0368mm,T,180
U27,-198.6534mm,-107.7598mm,T,0
U25,-198.6534mm,-96.0120mm,T,360
U23,-198.6534mm,-83.0580mm,T,0
JP13,-200.3298mm,-127.2986mm,T,360
U28,-201.3712mm,-69.0372mm,T,180
U26,-201.3712mm,-56.4642mm,T,180
U24,-201.3712mm,-44.7802mm,T,180
U22,-201.3712mm,-32.5882mm,T,180
D4,-204.8510mm,2.4638mm,B,180
D3,-204.8510mm,-4.1402mm,B,180
D2,-204.8510mm,-18.1356mm,B,180
D1,-204.8510mm,-11.7348mm,B,180
J1,-205.8416mm,28.2100mm,B,180
R162,-206.6544mm,0.4968mm,T,270
R157,-206.6544mm,-2.1732mm,T,270
R155,-206.6544mm,-16.3718mm,T,90
R152,-206.6544mm,-13.7018mm,T,90
C131,-206.6544mm,-5.9832mm,T,90
C125,-206.6544mm,-20.1168mm,T,90
R250,-206.7052mm,-112.2172mm,T,180
R247,-206.7052mm,-109.6648mm,T,180
R244,-206.7052mm,-107.1248mm,T,180
R241,-206.7052mm,-104.5848mm,T,180
R222,-206.7052mm,-100.4570mm,T,180
R219,-206.7052mm,-97.9170mm,T,180
R216,-206.7052mm,-95.3770mm,T,180
R213,-206.7052mm,-92.8370mm,T,180
R194,-206.7052mm,-87.5030mm,T,180
R191,-206.7052mm,-84.9630mm,T,180
R188,-206.7052mm,-82.4230mm,T,180
R185,-206.7052mm,-79.8830mm,T,180
C133,-208.1784mm,0.4968mm,T,90
C132,-208.1784mm,-2.1732mm,T,270
C129,-208.1784mm,-5.9832mm,T,90
C127,-208.1784mm,-16.3718mm,T,270
C126,-208.1784mm,-13.7018mm,T,90
C123,-208.1784mm,-20.1168mm,T,90
R262,-209.3468mm,-68.4022mm,T,180
R253,-209.3468mm,-68.4022mm,B,180
R266,-209.3474mm,-64.5922mm,T,180
R265,-209.3474mm,-65.8622mm,T,180
R263,-209.3474mm,-67.1322mm,T,180
R260,-209.3474mm,-69.6722mm,T,180
R259,-209.3474mm,-70.9422mm,T,180
R257,-209.3474mm,-72.2122mm,T,180
R256,-209.3474mm,-73.4822mm,T,180
R254,-209.3474mm,-65.8622mm,B,180
R252,-209.3474mm,-70.9422mm,B,180
R251,-209.3474mm,-73.4822mm,B,180
R238,-209.3474mm,-52.0192mm,T,180
R237,-209.3474mm,-53.2892mm,T,180
